stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,location_type,parent_station
1497457,11637,Wawrzeńczyce I,50.112698,20.3254935,http://kolejemalopolskie.kiedyprzyjedzie.pl/11637,1,
1559169,3512,Wawrzeńczyce I,50.112136,20.323455,http://kolejemalopolskie.kiedyprzyjedzie.pl/3512,0,1497457
1559168,3513,Wawrzeńczyce I,50.11326,20.327532,http://kolejemalopolskie.kiedyprzyjedzie.pl/3513,0,1497457
1497458,11638,Wawrzeńczyce II,50.114913,20.332587,http://kolejemalopolskie.kiedyprzyjedzie.pl/11638,1,
1559170,3514,Wawrzeńczyce II,50.114913,20.332587,http://kolejemalopolskie.kiedyprzyjedzie.pl/3514,0,1497458
1497459,11639,Wawrzeńczyce III,50.1176095,20.3416165,http://kolejemalopolskie.kiedyprzyjedzie.pl/11639,1,
1559172,3515,Wawrzeńczyce III,50.117282,20.34036,http://kolejemalopolskie.kiedyprzyjedzie.pl/3515,0,1497459
1559171,3516,Wawrzeńczyce III,50.117937,20.342873,http://kolejemalopolskie.kiedyprzyjedzie.pl/3516,0,1497459
1389795,11394,Wawrzeńczyce UG,50.1066985,20.296495,http://kolejemalopolskie.kiedyprzyjedzie.pl/11394,1,
1450535,3101,Wawrzeńczyce UG,50.106802,20.297984,http://kolejemalopolskie.kiedyprzyjedzie.pl/3101,0,1389795
1450536,3102,Wawrzeńczyce UG,50.106595,20.295006,http://kolejemalopolskie.kiedyprzyjedzie.pl/3102,0,1389795
772841,10593,Węglówka Boniory,49.741221,20.0867145,http://kolejemalopolskie.kiedyprzyjedzie.pl/10593,1,
824871,1121,Węglówka Boniory,49.741195,20.086654,http://kolejemalopolskie.kiedyprzyjedzie.pl/1121,0,772841
824870,1145,Węglówka Boniory,49.741247,20.086775,http://kolejemalopolskie.kiedyprzyjedzie.pl/1145,0,772841
772839,10590,Węglówka Łęgi,49.7330225,20.1000865,http://kolejemalopolskie.kiedyprzyjedzie.pl/10590,1,
824866,1124,Węglówka Łęgi,49.732961,20.100329,http://kolejemalopolskie.kiedyprzyjedzie.pl/1124,0,772839
824867,1142,Węglówka Łęgi,49.733084,20.099844,http://kolejemalopolskie.kiedyprzyjedzie.pl/1142,0,772839
1064909,11048,Węglówka Przełęcz,49.7541625,20.0826335,http://kolejemalopolskie.kiedyprzyjedzie.pl/11048,1,
1121498,6062,Węglówka Przełęcz,49.754224,20.082879,http://kolejemalopolskie.kiedyprzyjedzie.pl/6062,0,1064909
1121499,6063,Węglówka Przełęcz,49.754101,20.082388,http://kolejemalopolskie.kiedyprzyjedzie.pl/6063,0,1064909
772838,10591,Węglówka Sklep,49.732363,20.094537,http://kolejemalopolskie.kiedyprzyjedzie.pl/10591,1,
824864,1123,Węglówka Sklep,49.732304,20.09472,http://kolejemalopolskie.kiedyprzyjedzie.pl/1123,0,772838
824865,1143,Węglówka Sklep,49.732422,20.094354,http://kolejemalopolskie.kiedyprzyjedzie.pl/1143,0,772838
772840,10592,Węglówka Skrzyżowanie,49.7338505,20.08574,http://kolejemalopolskie.kiedyprzyjedzie.pl/10592,1,
824868,1122,Węglówka Skrzyżowanie,49.733801,20.08572,http://kolejemalopolskie.kiedyprzyjedzie.pl/1122,0,772840
824869,1144,Węglówka Skrzyżowanie,49.7339,20.08576,http://kolejemalopolskie.kiedyprzyjedzie.pl/1144,0,772840
772842,10594,Węglówka Szkoła,49.747128,20.0827395,http://kolejemalopolskie.kiedyprzyjedzie.pl/10594,1,
824872,1120,Węglówka Szkoła,49.747106,20.082729,http://kolejemalopolskie.kiedyprzyjedzie.pl/1120,0,772842
824873,1146,Węglówka Szkoła,49.74715,20.08275,http://kolejemalopolskie.kiedyprzyjedzie.pl/1146,0,772842
959961,10886,Wesołów Granica,49.853739,20.796272,http://kolejemalopolskie.kiedyprzyjedzie.pl/10886,1,
1015179,2442,Wesołów Granica,49.853739,20.796272,http://kolejemalopolskie.kiedyprzyjedzie.pl/2442,0,959961
1098413,11086,Wiatowice I,49.948028,20.213207,http://kolejemalopolskie.kiedyprzyjedzie.pl/11086,1,
1152025,6069,Wiatowice I,49.948028,20.213207,http://kolejemalopolskie.kiedyprzyjedzie.pl/6069,0,1098413
1062308,10988,Wiatowice IV,49.9502475,20.2078295,http://kolejemalopolskie.kiedyprzyjedzie.pl/10988,1,
1118856,6019,Wiatowice IV,49.950279,20.207828,http://kolejemalopolskie.kiedyprzyjedzie.pl/6019,0,1062308
1118855,6042,Wiatowice IV,49.950216,20.207831,http://kolejemalopolskie.kiedyprzyjedzie.pl/6042,0,1062308
1062307,11021,Wiatowice V,49.957208,20.1992755,http://kolejemalopolskie.kiedyprzyjedzie.pl/11021,1,
1118854,6020,Wiatowice V,49.957261,20.199212,http://kolejemalopolskie.kiedyprzyjedzie.pl/6020,0,1062307
1118853,6041,Wiatowice V,49.957155,20.199339,http://kolejemalopolskie.kiedyprzyjedzie.pl/6041,0,1062307
621282,10001,Wieliczka Centrum Dworzec,49.985311,20.056209,http://kolejemalopolskie.kiedyprzyjedzie.pl/10001,1,
669722,200,Wieliczka Centrum Dworzec,49.985311,20.056209,http://kolejemalopolskie.kiedyprzyjedzie.pl/200,0,621282
621279,10003,Wieliczka Chopina,49.9813825,20.068449,http://kolejemalopolskie.kiedyprzyjedzie.pl/10003,1,
669718,196,Wieliczka Chopina,49.981321,20.068712,http://kolejemalopolskie.kiedyprzyjedzie.pl/196,0,621279
669719,197,Wieliczka Chopina,49.981444,20.068186,http://kolejemalopolskie.kiedyprzyjedzie.pl/197,0,621279
959814,10530,Wieliczka Cmentarz,49.987323,20.0646915,http://kolejemalopolskie.kiedyprzyjedzie.pl/10530,1,
