route_id,service_id,trip_id,trip_headsign,wheelchair_accessible,trip_short_name,direction_id,block_id,shape_id
113643,254535_7953,20017060_7953,Nowy Targ Dworzec Kolejowy,0,,,,
79236,257941_7954,20314449_7954,Nowy Targ Dworzec Kolejowy,0,,,,
79236,257941_7954,20314450_7954,Nowy Targ Dworzec Kolejowy,0,,,,
79236,257941_7954,20314451_7954,Nowy Targ Dworzec Kolejowy,0,,,,
79236,257941_7952,20314452_7952,Nowy Targ Dworzec Kolejowy,0,,,,
79236,257941_7952,20314453_7952,Nowy Targ Dworzec Kolejowy,0,,,,
79236,257941_7952,20314454_7952,Nowy Targ Dworzec Kolejowy,0,,,,
79236,257941_7952,20314455_7952,Nowy Targ Dworzec Kolejowy,0,,,,
79236,257941_7952,20314456_7952,Nowy Targ Dworzec Kolejowy,0,,,,
79236,257941_7952,20314457_7952,Nowy Targ Dworzec Kolejowy,0,,,,
79236,257941_7953,20314458_7953,Nowy Targ Dworzec Kolejowy,0,,,,
79236,257941_7953,20314459_7953,Nowy Targ Dworzec Kolejowy,0,,,,
79236,257941_7953,20314460_7953,Nowy Targ Dworzec Kolejowy,0,,,,
79236,257941_7953,20314461_7953,Nowy Targ Dworzec Kolejowy,0,,,,
79236,257941_7954,20314462_7954,Nowy Sącz MDA,0,,,,
79236,257941_7954,20314463_7954,Nowy Sącz MDA,0,,,,
79236,257941_7954,20314464_7954,Nowy Sącz MDA,0,,,,
79236,257941_7953,20314465_7953,Nowy Sącz MDA,0,,,,
79236,257941_7953,20314466_7953,Nowy Sącz MDA,0,,,,
79236,257941_7953,20314467_7953,Nowy Sącz MDA,0,,,,
79236,257941_7953,20314468_7953,Nowy Sącz MDA,0,,,,
79236,257941_7952,20314469_7952,Nowy Sącz MDA,0,,,,
79236,257941_7952,20314470_7952,Nowy Sącz MDA,0,,,,
79236,257941_7952,20314471_7952,Nowy Sącz MDA,0,,,,
79236,257941_7952,20314472_7952,Nowy Sącz MDA,0,,,,
79236,257941_7952,20314473_7952,Nowy Sącz MDA,0,,,,
79236,257941_7952,20314474_7952,Nowy Sącz MDA,0,,,,
116314,260228_7952,20477835_7952,Tarnów Dworzec Autobusowy,0,,,,
116314,260228_7952,20477836_7952,Tarnów Dworzec Autobusowy,0,,,,
116314,260228_7952,20477837_7952,Tarnów Dworzec Autobusowy,0,,,,
116314,260228_7952,20477838_7952,Tarnów Dworzec Autobusowy,0,,,,
116314,260228_7952,20477839_7952,Tarnów Dworzec Autobusowy,0,,,,
116314,260228_7952,20477840_7952,Tarnów Dworzec Autobusowy,0,,,,
116314,260228_7954,20477841_7954,Tarnów Dworzec Autobusowy,0,,,,
116314,260228_7954,20477842_7954,Tarnów Dworzec Autobusowy,0,,,,
116314,260228_7954,20477843_7954,Tarnów Dworzec Autobusowy,0,,,,
116314,260228_7953,20477844_7953,Tarnów Dworzec Autobusowy,0,,,,
116314,260228_7953,20477845_7953,Tarnów Dworzec Autobusowy,0,,,,
116314,260228_7953,20477846_7953,Tarnów Dworzec Autobusowy,0,,,,
116314,260228_7953,20477847_7953,Tarnów Dworzec Autobusowy,0,,,,
116314,260228_7952,20477848_7952,Ryglice Rynek,0,,,,
116314,260228_7952,20477849_7952,Ryglice Rynek,0,,,,
116314,260228_7952,20477850_7952,Ryglice Rynek,0,,,,
116314,260228_7952,20477851_7952,Ryglice Rynek,0,,,,
116314,260228_7952,20477852_7952,Ryglice Rynek,0,,,,
116314,260228_7952,20477853_7952,Ryglice Rynek,0,,,,
116314,260228_7954,20477854_7954,Ryglice Rynek,0,,,,
116314,260228_7954,20477855_7954,Ryglice Rynek,0,,,,
116314,260228_7954,20477856_7954,Ryglice Rynek,0,,,,
116314,260228_7953,20477857_7953,Ryglice Rynek,0,,,,
116314,260228_7953,20477858_7953,Ryglice Rynek,0,,,,
116314,260228_7953,20477859_7953,Ryglice Rynek,0,,,,
116314,260228_7953,20477860_7953,Ryglice Rynek,0,,,,
63891,261906_7952,20588631_7952,Kraków MDA,0,,,,
63891,261906_7952,20588632_7952,Kraków MDA,0,,,,
63891,261906_7952,20588633_7952,Kraków MDA,0,,,,
63891,261906_7952,20588634_7952,Kraków MDA,0,,,,
63891,261906_7952,20588635_7952,Kraków MDA,0,,,,
63891,261906_7952,20588636_7952,Kraków MDA,0,,,,
63891,261906_7952,20588637_7952,Kraków MDA,0,,,,
63891,261906_7952,20588638_7952,Kraków MDA,0,,,,
63891,261906_7954,20588639_7954,Kraków MDA,0,,,,
63891,261906_7954,20588640_7954,Kraków MDA,0,,,,
63891,261906_7954,20588641_7954,Kraków MDA,0,,,,
63891,261906_7954,20588642_7954,Kraków MDA,0,,,,
63891,261906_7953,20588643_7953,Kraków MDA,0,,,,
63891,261906_7953,20588644_7953,Kraków MDA,0,,,,
63891,261906_7953,20588645_7953,Kraków MDA,0,,,,
63891,261906_7953,20588646_7953,Kraków MDA,0,,,,
63891,261906_7953,20588647_7953,Kraków MDA,0,,,,
63891,261906_7953,20588648_7953,Kraków MDA,0,,,,
63891,261906_7953,20588649_7953,Kraków MDA,0,,,,
63891,261906_7953,20588650_7953,Olkusz Dworzec PKP,0,,,,
63891,261906_7953,20588651_7953,Olkusz Dworzec PKP,0,,,,
63891,261906_7953,20588652_7953,Olkusz Dworzec PKP,0,,,,
63891,261906_7953,20588653_7953,Olkusz Dworzec PKP,0,,,,
63891,261906_7953,20588654_7953,Olkusz Dworzec PKP,0,,,,
63891,261906_7953,20588655_7953,Olkusz Dworzec PKP,0,,,,
63891,261906_7953,20588656_7953,Olkusz Dworzec PKP,0,,,,
63891,261906_7952,20588657_7952,Olkusz Dworzec PKP,0,,,,
63891,261906_7952,20588658_7952,Olkusz Dworzec PKP,0,,,,
63891,261906_7952,20588659_7952,Olkusz Dworzec PKP,0,,,,
63891,261906_7952,20588660_7952,Olkusz Dworzec PKP,0,,,,
63891,261906_7952,20588661_7952,Olkusz Dworzec PKP,0,,,,
63891,261906_7952,20588662_7952,Olkusz Dworzec PKP,0,,,,
63891,261906_7952,20588663_7952,Olkusz Dworzec PKP,0,,,,
63891,261906_7952,20588664_7952,Olkusz Dworzec PKP,0,,,,
63891,261906_7954,20588665_7954,Olkusz Dworzec PKP,0,,,,
63891,261906_7954,20588666_7954,Olkusz Dworzec PKP,0,,,,
63891,261906_7954,20588667_7954,Olkusz Dworzec PKP,0,,,,
63891,261906_7954,20588668_7954,Olkusz Dworzec PKP,0,,,,
63892,261920_7954,20589137_7954,Kraków MDA,0,,,,
63892,261920_7954,20589138_7954,Kraków MDA,0,,,,
63892,261920_7952,20589139_7952,Kraków MDA,0,,,,
63892,261920_7952,20589140_7952,Kraków MDA,0,,,,
63892,261920_7953,20589141_7953,Kraków MDA,0,,,,
