service_id,date,exception_type
2023_2024_1522217,20241025,1
2023_2024_1522217,20241028,1
2023_2024_1522217,20241029,1
2023_2024_1522217,20241030,1
2023_2024_1522217,20241031,1
2023_2024_1522217,20241104,1
2023_2024_1522217,20241105,1
2023_2024_1522217,20241106,1
2023_2024_1522217,20241107,1
2023_2024_1522217,20241108,1
2023_2024_1548178,20240908,1
2023_2024_1522640,20241014,1
2023_2024_1522640,20241015,1
2023_2024_1522640,20241016,1
2023_2024_1522640,20241017,1
2023_2024_1522640,20241018,1
2023_2024_1522640,20241021,1
2023_2024_1522640,20241022,1
2023_2024_1522640,20241023,1
2023_2024_1522640,20241024,1
2023_2024_1522640,20241025,1
2023_2024_943721,20240831,1
2023_2024_1522731,20241029,1
2023_2024_1522731,20241030,1
2023_2024_1522731,20241031,1
2023_2024_1530393,20240901,1
2023_2024_1513056,20240902,1
2023_2024_1513056,20240903,1
2023_2024_1513546,20240908,1
2023_2024_1529922,20240907,1
2023_2024_1529922,20240908,1
2023_2024_1529922,20240914,1
2023_2024_1529922,20240915,1
2023_2024_1529922,20240921,1
2023_2024_1529922,20240922,1
2023_2024_1529922,20240928,1
2023_2024_1529922,20240929,1
2023_2024_1523031,20240901,1
2023_2024_1523031,20240921,1
2023_2024_1523031,20240922,1
2023_2024_1522747,20241004,1
2023_2024_1522747,20241007,1
2023_2024_1522747,20241008,1
2023_2024_1522747,20241009,1
2023_2024_1522747,20241010,1
2023_2024_1522747,20241011,1
2023_2024_1522747,20241029,1
2023_2024_1522747,20241030,1
2023_2024_1522747,20241031,1
2023_2024_1521142,20240903,1
2023_2024_1521142,20240904,1
2023_2024_1521142,20240905,1
2023_2024_1522774,20241028,1
2023_2024_1522721,20241105,1
2023_2024_1522721,20241106,1
2023_2024_1522721,20241107,1
2023_2024_1522721,20241108,1
2023_2024_1530014,20241019,1
2023_2024_1530014,20241020,1
2023_2024_1530014,20241026,1
2023_2024_1530014,20241027,1
2023_2024_1522372,20240916,1
2023_2024_1522372,20240917,1
2023_2024_1522372,20240918,1
2023_2024_1522372,20240919,1
2023_2024_1522372,20240920,1
2023_2024_1522372,20240923,1
2023_2024_1522372,20240924,1
2023_2024_1522372,20240925,1
2023_2024_1530329,20240912,1
2023_2024_1530329,20240913,1
2023_2024_1152889,20240826,1
2023_2024_1152889,20240827,1
2023_2024_1152889,20240828,1
2023_2024_1152889,20240829,1
2023_2024_1152889,20240830,1
2023_2024_1513425,20240901,1
2023_2024_1513425,20240907,1
2023_2024_1513425,20240908,1
2023_2024_1513425,20240914,1
2023_2024_1513425,20240915,1
2023_2024_1513425,20240921,1
2023_2024_1513425,20240922,1
2023_2024_1513425,20240928,1
2023_2024_1513425,20240929,1
2023_2024_1513425,20241005,1
2023_2024_1513425,20241006,1
2023_2024_1513425,20241012,1
2023_2024_1513425,20241013,1
2023_2024_1513425,20241019,1
2023_2024_1513425,20241020,1
2023_2024_1513425,20241026,1
2023_2024_1513425,20241027,1
2023_2024_1513425,20241101,1
2023_2024_1513425,20241102,1
2023_2024_1513425,20241103,1
2023_2024_1513425,20241109,1
2023_2024_1521250,20240926,1
2023_2024_1521250,20240927,1
2023_2024_1521250,20240930,1
2023_2024_1521368,20240909,1
2023_2024_1530075,20240831,1
2023_2024_1522595,20241015,1
2023_2024_1522595,20241016,1
2023_2024_1522595,20241017,1
2023_2024_1522595,20241018,1
2023_2024_1522595,20241021,1
2023_2024_1522595,20241022,1
2023_2024_1522595,20241023,1
2023_2024_1522595,20241024,1
2023_2024_1522595,20241025,1
2023_2024_1512813,20240902,1
2023_2024_1512813,20240903,1
2023_2024_1512813,20240904,1
2023_2024_1512813,20240905,1
2023_2024_1512813,20240906,1
2023_2024_1512813,20240909,1
2023_2024_1512813,20240910,1
2023_2024_1512813,20240911,1
2023_2024_1512813,20240912,1
2023_2024_1512813,20240913,1
2023_2024_1512813,20240916,1
2023_2024_1512813,20240917,1
2023_2024_1512813,20240918,1
2023_2024_1512813,20240919,1
2023_2024_1512813,20240920,1
2023_2024_1512813,20240923,1
2023_2024_1512813,20240924,1
2023_2024_1512813,20240925,1
2023_2024_1512813,20240926,1
2023_2024_1512813,20240927,1
2023_2024_1512813,20240930,1
2023_2024_1512813,20241001,1
2023_2024_1512813,20241002,1
2023_2024_1512813,20241003,1
2023_2024_1512813,20241004,1
2023_2024_1512813,20241007,1
2023_2024_1512813,20241008,1
2023_2024_1512813,20241009,1
2023_2024_1512813,20241010,1
2023_2024_1512813,20241011,1
2023_2024_1512813,20241014,1
2023_2024_1512813,20241015,1
2023_2024_1512813,20241016,1
2023_2024_1512813,20241017,1
2023_2024_1512813,20241018,1
2023_2024_1512813,20241021,1
2023_2024_1512813,20241022,1
2023_2024_1512813,20241023,1
2023_2024_1512813,20241024,1
2023_2024_1512813,20241025,1
2023_2024_1512813,20241028,1
2023_2024_1512813,20241029,1
2023_2024_1512813,20241030,1
2023_2024_1512813,20241031,1
2023_2024_1512813,20241104,1
2023_2024_1512813,20241105,1
2023_2024_1512813,20241106,1
2023_2024_1512813,20241107,1
2023_2024_1512813,20241108,1
2023_2024_1513511,20240901,1
2023_2024_1513511,20240907,1
2023_2024_1513511,20240908,1
2023_2024_1513511,20240914,1
2023_2024_1513511,20240915,1
2023_2024_1513511,20240921,1
2023_2024_1513511,20240922,1
2023_2024_1513511,20240928,1
2023_2024_1513511,20240929,1
2023_2024_1513511,20241005,1
2023_2024_1513511,20241006,1
2023_2024_1513511,20241012,1
2023_2024_1513511,20241013,1
2023_2024_1513511,20241019,1
2023_2024_1513511,20241020,1
2023_2024_1513511,20241026,1
2023_2024_1513511,20241027,1
2023_2024_1513511,20241101,1
2023_2024_1513511,20241102,1
2023_2024_1513511,20241103,1
2023_2024_1513511,20241109,1
2023_2024_944901,20240831,1
2023_2024_1529343,20241019,1
2023_2024_1529343,20241020,1
2023_2024_1529343,20241026,1
2023_2024_1179413,20240828,1
2023_2024_1179413,20240829,1
2023_2024_1179413,20240830,1
2023_2024_1179413,20240831,1
2023_2024_930139,20240826,1
2023_2024_930139,20240827,1
2023_2024_930139,20240828,1
2023_2024_930139,20240829,1
2023_2024_930139,20240830,1
2023_2024_1523019,20241019,1
2023_2024_1523019,20241020,1
2023_2024_1523019,20241026,1
2023_2024_1512972,20240902,1
2023_2024_1512972,20240903,1
2023_2024_943722,20240831,1
2023_2024_1513424,20240901,1
2023_2024_1513424,20240907,1
2023_2024_1513424,20240908,1
2023_2024_1513424,20240914,1
2023_2024_1513424,20240915,1
2023_2024_1513424,20240921,1
2023_2024_1513424,20240922,1
2023_2024_1513424,20240928,1
2023_2024_1513424,20240929,1
2023_2024_1513424,20241005,1
2023_2024_1513424,20241006,1
2023_2024_1513424,20241012,1
2023_2024_1513424,20241013,1
2023_2024_1513424,20241019,1
2023_2024_1513424,20241020,1
2023_2024_1513424,20241026,1
2023_2024_1513424,20241027,1
2023_2024_1513424,20241101,1
2023_2024_1513424,20241102,1
2023_2024_1513424,20241103,1
2023_2024_1513424,20241109,1
2023_2024_945211,20240826,1
2023_2024_945211,20240827,1
2023_2024_945211,20240828,1
2023_2024_945211,20240829,1
2023_2024_945211,20240830,1
2023_2024_1520987,20240902,1
2023_2024_1520987,20240903,1
2023_2024_1520987,20240904,1
2023_2024_1520987,20240905,1
2023_2024_1521190,20240910,1
2023_2024_1521190,20240911,1
2023_2024_1521225,20240926,1
2023_2024_1521225,20240927,1
2023_2024_1521225,20240930,1
2023_2024_1153283,20240826,1
2023_2024_1153283,20240827,1
2023_2024_1153283,20240828,1
2023_2024_1153283,20240829,1
2023_2024_1153283,20240830,1
2023_2024_1513124,20240902,1
2023_2024_1513124,20240903,1
2023_2024_1513124,20240904,1
2023_2024_1513124,20240905,1
2023_2024_1513124,20240906,1
2023_2024_1513124,20240909,1
2023_2024_1513124,20240910,1
2023_2024_1513124,20240911,1
2023_2024_1513124,20240912,1
2023_2024_1513124,20240913,1
2023_2024_1513124,20240916,1
2023_2024_1513124,20240917,1
2023_2024_1513124,20240918,1
2023_2024_1513124,20240919,1
2023_2024_1513124,20240920,1
2023_2024_1513124,20240923,1
2023_2024_1513124,20240924,1
2023_2024_1513124,20240925,1
2023_2024_1513124,20240926,1
2023_2024_1513124,20240927,1
2023_2024_1513124,20240930,1
2023_2024_1513124,20241001,1
2023_2024_1513124,20241002,1
2023_2024_1513124,20241003,1
2023_2024_1513124,20241004,1
2023_2024_1513124,20241007,1
2023_2024_1513124,20241008,1
2023_2024_1513124,20241009,1
2023_2024_1513124,20241010,1
2023_2024_1513124,20241011,1
2023_2024_1513124,20241014,1
2023_2024_1513124,20241015,1
2023_2024_1513124,20241016,1
2023_2024_1513124,20241017,1
2023_2024_1513124,20241018,1
2023_2024_1513124,20241021,1
2023_2024_1513124,20241022,1
2023_2024_1513124,20241023,1
2023_2024_1513124,20241024,1
2023_2024_1513124,20241025,1
2023_2024_1513124,20241028,1
2023_2024_1513124,20241029,1
2023_2024_1513124,20241030,1
2023_2024_1513124,20241031,1
2023_2024_1513124,20241104,1
2023_2024_1513124,20241105,1
2023_2024_1513124,20241106,1
2023_2024_1513124,20241107,1
2023_2024_1513124,20241108,1
2023_2024_1530398,20240928,1
2023_2024_1530398,20240929,1
2023_2024_1522713,20240903,1
2023_2024_1522713,20240904,1
2023_2024_1522713,20240905,1
2023_2024_1522713,20240906,1
2023_2024_1522713,20240909,1
2023_2024_1522713,20240910,1
2023_2024_1522713,20240911,1
2023_2024_1522713,20240912,1
2023_2024_1522713,20240913,1
2023_2024_1522713,20240916,1
